Year,State,Gear Type,Craft,n,Reference,Remarks
2016,Maharashtra,,Motorised,6788,"Giri, S. S. ed., 2018. Small-scale fisheries in South Asia. SAARC Agriculture Centre,Dhaka, Bangladesh, 137 p",Source: CMFRI Fisher census 2016
2016,Maharashtra,,Non - motorised,2865,"Giri, S. S. ed., 2018. Small-scale fisheries in South Asia. SAARC Agriculture Centre,Dhaka, Bangladesh, 137 p",Source: CMFRI Fisher census 2016
2016,Goa,,Motorised,942,"Giri, S. S. ed., 2018. Small-scale fisheries in South Asia. SAARC Agriculture Centre,Dhaka, Bangladesh, 137 p",Source: CMFRI Fisher census 2016
2016,Goa,,Non - motorised,182,"Giri, S. S. ed., 2018. Small-scale fisheries in South Asia. SAARC Agriculture Centre,Dhaka, Bangladesh, 137 p",Source: CMFRI Fisher census 2016
2019,Maharashtra,,Mechanised,20667,Handbook on fisheries statistics 2018,Only registered vessels
2019,Maharashtra,,Motorised,0,Handbook on fisheries statistics 2018,Only registered vessels
2019,Maharashtra,,Non - motorised,7653,Handbook on fisheries statistics 2018,Only registered vessels
2019,Goa,,Mechanised,2530,Handbook on fisheries statistics 2018,Only registered vessels
2019,Goa,,Non - motorised,315,Handbook on fisheries statistics 2018,Only registered vessels
2019,Goa,,Motorised,0,Handbook on fisheries statistics 2018,Only registered vessels
2010,Goa,,Mechanised,1142,CMFRI Marine fisheries census 2010,
2010,Goa,,Motorised,1297,CMFRI Marine fisheries census 2010,
2010,Goa,,Non - motorised,227,CMFRI Marine fisheries census 2010,
2005,Goa,,Mechanised,1087,CMFRI Marine fisheries census 2005,
2005,Goa,,Motorised,932,CMFRI Marine fisheries census 2005,
2005,Goa,,Non - motorised,532,CMFRI Marine fisheries census 2005,
2005,Maharashtra,,Mechanised,13053,CMFRI Marine fisheries census 2005,
2005,Maharashtra,,Motorised,3382,CMFRI Marine fisheries census 2005,
2005,Maharashtra,,Non - motorised,7073,CMFRI Marine fisheries census 2005,
2010,Maharashtra,,Mechanised,13016,CMFRI Marine fisheries census 2010,
2010,Maharashtra,,Motorised,1563,CMFRI Marine fisheries census 2010,
2010,Maharashtra,,Non - motorised,2783,CMFRI Marine fisheries census 2010,
2015,Maharashtra,,Mechanised,16927,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2015,Maharashtra,,Motorised,0,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2015,Maharashtra,,Non - motorised,7362,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2015,Goa,,Non - motorised,394,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2015,Goa,,Motorised,0,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2015,Goa,,Mechanised,1916,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2014,Maharashtra,,Non - motorised,2783,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2014,Maharashtra,,Mechanised,13016,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2014,Maharashtra,,Motorised,1563,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2014,Goa,,Non - motorised,227,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2014,Goa,,Motorised,1297,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2014,Goa,,Mechanised,3167,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2017,Goa,,Non - motorised,276,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2017,Goa,,Motorised,1,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2017,Goa,,Mechanised,2052,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2017,Maharashtra,,Non - motorised,7408,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2017,Maharashtra,,Motorised,0,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2017,Maharashtra,,Mechanised,19806,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2018,Goa,,Non - motorised,284,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2018,Goa,,Motorised,1,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2018,Goa,,Mechanised,2487,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2018,Maharashtra,,Non - motorised,7430,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2018,Maharashtra,,Motorised,0,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
2018,Maharashtra,,Mechanised,19874,"Fisheries Division, D/o Animal Husbandry, Dairying & Fisheries",
